Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"STATE and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","STATE","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","New South Wales","Alpine (S)",34
"Persons, Place of Work","New South Wales","Ararat (RC)",3
"Persons, Place of Work","New South Wales","Ballarat (C)",24
"Persons, Place of Work","New South Wales","Banyule (C)",33
"Persons, Place of Work","New South Wales","Bass Coast (S)",50
"Persons, Place of Work","New South Wales","Baw Baw (S)",17
"Persons, Place of Work","New South Wales","Bayside (C)",37
"Persons, Place of Work","New South Wales","Benalla (RC)",17
"Persons, Place of Work","New South Wales","Boroondara (C)",123
"Persons, Place of Work","New South Wales","Brimbank (C)",67
"Persons, Place of Work","New South Wales","Buloke (S)",3
"Persons, Place of Work","New South Wales","Campaspe (S)",1230
"Persons, Place of Work","New South Wales","Cardinia (S)",3
"Persons, Place of Work","New South Wales","Casey (C)",40
"Persons, Place of Work","New South Wales","Central Goldfields (S)",0
"Persons, Place of Work","New South Wales","Colac-Otway (S)",3
"Persons, Place of Work","New South Wales","Corangamite (S)",11
"Persons, Place of Work","New South Wales","Darebin (C)",43
"Persons, Place of Work","New South Wales","East Gippsland (S)",43
"Persons, Place of Work","New South Wales","Frankston (C)",32
"Persons, Place of Work","New South Wales","Gannawarra (S)",126
"Persons, Place of Work","New South Wales","Glen Eira (C)",43
"Persons, Place of Work","New South Wales","Glenelg (S)",8
"Persons, Place of Work","New South Wales","Golden Plains (S)",0
"Persons, Place of Work","New South Wales","Greater Bendigo (C)",51
"Persons, Place of Work","New South Wales","Greater Dandenong (C)",109
"Persons, Place of Work","New South Wales","Greater Geelong (C)",113
"Persons, Place of Work","New South Wales","Greater Shepparton (C)",107
"Persons, Place of Work","New South Wales","Hepburn (S)",4
"Persons, Place of Work","New South Wales","Hindmarsh (S)",0
"Persons, Place of Work","New South Wales","Hobsons Bay (C)",54
"Persons, Place of Work","New South Wales","Horsham (RC)",7
"Persons, Place of Work","New South Wales","Hume (C)",141
"Persons, Place of Work","New South Wales","Indigo (S)",607
"Persons, Place of Work","New South Wales","Kingston (C)",100
"Persons, Place of Work","New South Wales","Knox (C)",114
"Persons, Place of Work","New South Wales","Latrobe (C)",21
"Persons, Place of Work","New South Wales","Loddon (S)",5
"Persons, Place of Work","New South Wales","Macedon Ranges (S)",7
"Persons, Place of Work","New South Wales","Manningham (C)",18
"Persons, Place of Work","New South Wales","Mansfield (S)",6
"Persons, Place of Work","New South Wales","Maribyrnong (C)",44
"Persons, Place of Work","New South Wales","Maroondah (C)",18
"Persons, Place of Work","New South Wales","Melbourne (C)",1055
"Persons, Place of Work","New South Wales","Melton (S)",18
"Persons, Place of Work","New South Wales","Mildura (RC)",1023
"Persons, Place of Work","New South Wales","Mitchell (S)",27
"Persons, Place of Work","New South Wales","Moira (S)",985
"Persons, Place of Work","New South Wales","Monash (C)",176
"Persons, Place of Work","New South Wales","Moonee Valley (C)",44
"Persons, Place of Work","New South Wales","Moorabool (S)",5
"Persons, Place of Work","New South Wales","Moreland (C)",39
"Persons, Place of Work","New South Wales","Mornington Peninsula (S)",99
"Persons, Place of Work","New South Wales","Mount Alexander (S)",12
"Persons, Place of Work","New South Wales","Moyne (S)",17
"Persons, Place of Work","New South Wales","Murrindindi (S)",14
"Persons, Place of Work","New South Wales","Nillumbik (S)",0
"Persons, Place of Work","New South Wales","Northern Grampians (S)",3
"Persons, Place of Work","New South Wales","Port Phillip (C)",203
"Persons, Place of Work","New South Wales","Pyrenees (S)",4
"Persons, Place of Work","New South Wales","Queenscliffe (B)",0
"Persons, Place of Work","New South Wales","South Gippsland (S)",10
"Persons, Place of Work","New South Wales","Southern Grampians (S)",6
"Persons, Place of Work","New South Wales","Stonnington (C)",82
"Persons, Place of Work","New South Wales","Strathbogie (S)",8
"Persons, Place of Work","New South Wales","Surf Coast (S)",13
"Persons, Place of Work","New South Wales","Swan Hill (RC)",435
"Persons, Place of Work","New South Wales","Towong (S)",99
"Persons, Place of Work","New South Wales","Wangaratta (RC)",168
"Persons, Place of Work","New South Wales","Warrnambool (C)",7
"Persons, Place of Work","New South Wales","Wellington (S)",21
"Persons, Place of Work","New South Wales","West Wimmera (S)",0
"Persons, Place of Work","New South Wales","Whitehorse (C)",92
"Persons, Place of Work","New South Wales","Whittlesea (C)",44
"Persons, Place of Work","New South Wales","Wodonga (RC)",4516
"Persons, Place of Work","New South Wales","Wyndham (C)",58
