Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"STATE (UR) by LGA (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","STATE (UR)","LGA (POW)","Count",
"Persons Aged 15 Years and Over Place of Work","New South Wales","Alpine (S)",31
"Persons Aged 15 Years and Over Place of Work","New South Wales","Ararat (RC)",19
"Persons Aged 15 Years and Over Place of Work","New South Wales","Ballarat (C)",46
"Persons Aged 15 Years and Over Place of Work","New South Wales","Banyule (C)",60
"Persons Aged 15 Years and Over Place of Work","New South Wales","Bass Coast (S)",3
"Persons Aged 15 Years and Over Place of Work","New South Wales","Baw Baw (S)",3
"Persons Aged 15 Years and Over Place of Work","New South Wales","Bayside (C)",34
"Persons Aged 15 Years and Over Place of Work","New South Wales","Benalla (RC)",33
"Persons Aged 15 Years and Over Place of Work","New South Wales","Boroondara (C)",155
"Persons Aged 15 Years and Over Place of Work","New South Wales","Brimbank (C)",101
"Persons Aged 15 Years and Over Place of Work","New South Wales","Buloke (S)",6
"Persons Aged 15 Years and Over Place of Work","New South Wales","Campaspe (S)",1493
"Persons Aged 15 Years and Over Place of Work","New South Wales","Cardinia (S)",9
"Persons Aged 15 Years and Over Place of Work","New South Wales","Casey (C)",63
"Persons Aged 15 Years and Over Place of Work","New South Wales","Central Goldfields (S)",6
"Persons Aged 15 Years and Over Place of Work","New South Wales","Colac-Otway (S)",10
"Persons Aged 15 Years and Over Place of Work","New South Wales","Corangamite (S)",5
"Persons Aged 15 Years and Over Place of Work","New South Wales","Darebin (C)",74
"Persons Aged 15 Years and Over Place of Work","New South Wales","East Gippsland (S)",46
"Persons Aged 15 Years and Over Place of Work","New South Wales","Frankston (C)",42
"Persons Aged 15 Years and Over Place of Work","New South Wales","Gannawarra (S)",135
"Persons Aged 15 Years and Over Place of Work","New South Wales","Glen Eira (C)",37
"Persons Aged 15 Years and Over Place of Work","New South Wales","Glenelg (S)",13
"Persons Aged 15 Years and Over Place of Work","New South Wales","Golden Plains (S)",4
"Persons Aged 15 Years and Over Place of Work","New South Wales","Greater Bendigo (C)",92
"Persons Aged 15 Years and Over Place of Work","New South Wales","Greater Dandenong (C)",150
"Persons Aged 15 Years and Over Place of Work","New South Wales","Greater Geelong (C)",108
"Persons Aged 15 Years and Over Place of Work","New South Wales","Greater Shepparton (C)",119
"Persons Aged 15 Years and Over Place of Work","New South Wales","Hepburn (S)",11
"Persons Aged 15 Years and Over Place of Work","New South Wales","Hindmarsh (S)",0
"Persons Aged 15 Years and Over Place of Work","New South Wales","Hobsons Bay (C)",93
"Persons Aged 15 Years and Over Place of Work","New South Wales","Horsham (RC)",5
"Persons Aged 15 Years and Over Place of Work","New South Wales","Hume (C)",140
"Persons Aged 15 Years and Over Place of Work","New South Wales","Indigo (S)",592
"Persons Aged 15 Years and Over Place of Work","New South Wales","Kingston (C)",150
"Persons Aged 15 Years and Over Place of Work","New South Wales","Knox (C)",137
"Persons Aged 15 Years and Over Place of Work","New South Wales","Latrobe (C)",19
"Persons Aged 15 Years and Over Place of Work","New South Wales","Loddon (S)",6
"Persons Aged 15 Years and Over Place of Work","New South Wales","Macedon Ranges (S)",18
"Persons Aged 15 Years and Over Place of Work","New South Wales","Manningham (C)",27
"Persons Aged 15 Years and Over Place of Work","New South Wales","Mansfield (S)",6
"Persons Aged 15 Years and Over Place of Work","New South Wales","Maribyrnong (C)",50
"Persons Aged 15 Years and Over Place of Work","New South Wales","Maroondah (C)",30
"Persons Aged 15 Years and Over Place of Work","New South Wales","Melbourne (C)",1258
"Persons Aged 15 Years and Over Place of Work","New South Wales","Melton (C)",27
"Persons Aged 15 Years and Over Place of Work","New South Wales","Mildura (RC)",1172
"Persons Aged 15 Years and Over Place of Work","New South Wales","Mitchell (S)",49
"Persons Aged 15 Years and Over Place of Work","New South Wales","Moira (S)",1115
"Persons Aged 15 Years and Over Place of Work","New South Wales","Monash (C)",275
"Persons Aged 15 Years and Over Place of Work","New South Wales","Moonee Valley (C)",70
"Persons Aged 15 Years and Over Place of Work","New South Wales","Moorabool (S)",6
"Persons Aged 15 Years and Over Place of Work","New South Wales","Moreland (C)",35
"Persons Aged 15 Years and Over Place of Work","New South Wales","Mornington Peninsula (S)",129
"Persons Aged 15 Years and Over Place of Work","New South Wales","Mount Alexander (S)",11
"Persons Aged 15 Years and Over Place of Work","New South Wales","Moyne (S)",4
"Persons Aged 15 Years and Over Place of Work","New South Wales","Murrindindi (S)",14
"Persons Aged 15 Years and Over Place of Work","New South Wales","Nillumbik (S)",4
"Persons Aged 15 Years and Over Place of Work","New South Wales","Northern Grampians (S)",10
"Persons Aged 15 Years and Over Place of Work","New South Wales","Port Phillip (C)",281
"Persons Aged 15 Years and Over Place of Work","New South Wales","Pyrenees (S)",6
"Persons Aged 15 Years and Over Place of Work","New South Wales","Queenscliffe (B)",0
"Persons Aged 15 Years and Over Place of Work","New South Wales","South Gippsland (S)",8
"Persons Aged 15 Years and Over Place of Work","New South Wales","Southern Grampians (S)",5
"Persons Aged 15 Years and Over Place of Work","New South Wales","Stonnington (C)",121
"Persons Aged 15 Years and Over Place of Work","New South Wales","Strathbogie (S)",3
"Persons Aged 15 Years and Over Place of Work","New South Wales","Surf Coast (S)",12
"Persons Aged 15 Years and Over Place of Work","New South Wales","Swan Hill (RC)",520
"Persons Aged 15 Years and Over Place of Work","New South Wales","Towong (S)",123
"Persons Aged 15 Years and Over Place of Work","New South Wales","Wangaratta (RC)",223
"Persons Aged 15 Years and Over Place of Work","New South Wales","Warrnambool (C)",9
"Persons Aged 15 Years and Over Place of Work","New South Wales","Wellington (S)",92
"Persons Aged 15 Years and Over Place of Work","New South Wales","West Wimmera (S)",0
"Persons Aged 15 Years and Over Place of Work","New South Wales","Whitehorse (C)",80
"Persons Aged 15 Years and Over Place of Work","New South Wales","Whittlesea (C)",60
"Persons Aged 15 Years and Over Place of Work","New South Wales","Wodonga (C)",5235
"Persons Aged 15 Years and Over Place of Work","New South Wales","Wyndham (C)",72
"Persons Aged 15 Years and Over Place of Work","New South Wales","Yarra (C)",292
"Persons Aged 15 Years and Over Place of Work","New South Wales","Yarra Ranges (S)",24
"Persons Aged 15 Years and Over Place of Work","New South Wales","Yarriambiack (S)",6
"Persons Aged 15 Years and Over Place of Work","New South Wales","Unincorporated Vic",142
"Persons Aged 15 Years and Over Place of Work","New South Wales","No Fixed Address (Vic.)",367
"Persons Aged 15 Years and Over Place of Work","New South Wales","Migratory - Offshore - Shipping (Vic.)",5
"Persons Aged 15 Years and Over Place of Work","Queensland","Alpine (S)",4
"Persons Aged 15 Years and Over Place of Work","Queensland","Ararat (RC)",4
"Persons Aged 15 Years and Over Place of Work","Queensland","Ballarat (C)",33
"Persons Aged 15 Years and Over Place of Work","Queensland","Banyule (C)",46
"Persons Aged 15 Years and Over Place of Work","Queensland","Bass Coast (S)",9
"Persons Aged 15 Years and Over Place of Work","Queensland","Baw Baw (S)",19
"Persons Aged 15 Years and Over Place of Work","Queensland","Bayside (C)",25
"Persons Aged 15 Years and Over Place of Work","Queensland","Benalla (RC)",3
"Persons Aged 15 Years and Over Place of Work","Queensland","Boroondara (C)",105
"Persons Aged 15 Years and Over Place of Work","Queensland","Brimbank (C)",74
"Persons Aged 15 Years and Over Place of Work","Queensland","Buloke (S)",0
"Persons Aged 15 Years and Over Place of Work","Queensland","Campaspe (S)",12
"Persons Aged 15 Years and Over Place of Work","Queensland","Cardinia (S)",22
"Persons Aged 15 Years and Over Place of Work","Queensland","Casey (C)",45
"Persons Aged 15 Years and Over Place of Work","Queensland","Central Goldfields (S)",0
"Persons Aged 15 Years and Over Place of Work","Queensland","Colac-Otway (S)",0
"Persons Aged 15 Years and Over Place of Work","Queensland","Corangamite (S)",12
"Persons Aged 15 Years and Over Place of Work","Queensland","Darebin (C)",32
"Persons Aged 15 Years and Over Place of Work","Queensland","East Gippsland (S)",14
"Persons Aged 15 Years and Over Place of Work","Queensland","Frankston (C)",29
"Persons Aged 15 Years and Over Place of Work","Queensland","Gannawarra (S)",3
"Persons Aged 15 Years and Over Place of Work","Queensland","Glen Eira (C)",29
"Persons Aged 15 Years and Over Place of Work","Queensland","Glenelg (S)",3
"Persons Aged 15 Years and Over Place of Work","Queensland","Golden Plains (S)",4
"Persons Aged 15 Years and Over Place of Work","Queensland","Greater Bendigo (C)",25
"Persons Aged 15 Years and Over Place of Work","Queensland","Greater Dandenong (C)",122
"Persons Aged 15 Years and Over Place of Work","Queensland","Greater Geelong (C)",95
"Persons Aged 15 Years and Over Place of Work","Queensland","Greater Shepparton (C)",19
"Persons Aged 15 Years and Over Place of Work","Queensland","Hepburn (S)",5
"Persons Aged 15 Years and Over Place of Work","Queensland","Hindmarsh (S)",0
"Persons Aged 15 Years and Over Place of Work","Queensland","Hobsons Bay (C)",48
"Persons Aged 15 Years and Over Place of Work","Queensland","Horsham (RC)",3
"Persons Aged 15 Years and Over Place of Work","Queensland","Hume (C)",108
"Persons Aged 15 Years and Over Place of Work","Queensland","Indigo (S)",4
"Persons Aged 15 Years and Over Place of Work","Queensland","Kingston (C)",99
"Persons Aged 15 Years and Over Place of Work","Queensland","Knox (C)",108
"Persons Aged 15 Years and Over Place of Work","Queensland","Latrobe (C)",19
"Persons Aged 15 Years and Over Place of Work","Queensland","Loddon (S)",3
"Persons Aged 15 Years and Over Place of Work","Queensland","Macedon Ranges (S)",8
"Persons Aged 15 Years and Over Place of Work","Queensland","Manningham (C)",18
"Persons Aged 15 Years and Over Place of Work","Queensland","Mansfield (S)",4
"Persons Aged 15 Years and Over Place of Work","Queensland","Maribyrnong (C)",23
"Persons Aged 15 Years and Over Place of Work","Queensland","Maroondah (C)",27
"Persons Aged 15 Years and Over Place of Work","Queensland","Melbourne (C)",711
"Persons Aged 15 Years and Over Place of Work","Queensland","Melton (C)",29
"Persons Aged 15 Years and Over Place of Work","Queensland","Mildura (RC)",23
"Persons Aged 15 Years and Over Place of Work","Queensland","Mitchell (S)",90
"Persons Aged 15 Years and Over Place of Work","Queensland","Moira (S)",6
"Persons Aged 15 Years and Over Place of Work","Queensland","Monash (C)",178
"Persons Aged 15 Years and Over Place of Work","Queensland","Moonee Valley (C)",57
"Persons Aged 15 Years and Over Place of Work","Queensland","Moorabool (S)",14
"Persons Aged 15 Years and Over Place of Work","Queensland","Moreland (C)",23
"Persons Aged 15 Years and Over Place of Work","Queensland","Mornington Peninsula (S)",91
"Persons Aged 15 Years and Over Place of Work","Queensland","Mount Alexander (S)",6
"Persons Aged 15 Years and Over Place of Work","Queensland","Moyne (S)",0
"Persons Aged 15 Years and Over Place of Work","Queensland","Murrindindi (S)",0
"Persons Aged 15 Years and Over Place of Work","Queensland","Nillumbik (S)",10
"Persons Aged 15 Years and Over Place of Work","Queensland","Northern Grampians (S)",6
