Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"LGA and Local Government Areas (2011 Boundaries) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"

"Counting","LGA","Local Government Areas (2011 Boundaries) (POW)","Count",
"Persons, Place of Work","Alpine (S)","Alpine (S)",3740
"Persons, Place of Work","Alpine (S)","Ararat (RC)",0
"Persons, Place of Work","Alpine (S)","Ballarat (C)",0
"Persons, Place of Work","Alpine (S)","Banyule (C)",0
"Persons, Place of Work","Alpine (S)","Bass Coast (S)",0
"Persons, Place of Work","Alpine (S)","Baw Baw (S)",0
"Persons, Place of Work","Alpine (S)","Bayside (C)",0
"Persons, Place of Work","Alpine (S)","Benalla (RC)",9
"Persons, Place of Work","Alpine (S)","Boroondara (C)",3
"Persons, Place of Work","Alpine (S)","Brimbank (C)",0
"Persons, Place of Work","Alpine (S)","Buloke (S)",0
"Persons, Place of Work","Alpine (S)","Campaspe (S)",0
"Persons, Place of Work","Alpine (S)","Cardinia (S)",0
"Persons, Place of Work","Alpine (S)","Casey (C)",0
"Persons, Place of Work","Alpine (S)","Central Goldfields (S)",0
"Persons, Place of Work","Alpine (S)","Colac-Otway (S)",0
"Persons, Place of Work","Alpine (S)","Corangamite (S)",0
"Persons, Place of Work","Alpine (S)","Darebin (C)",0
"Persons, Place of Work","Alpine (S)","East Gippsland (S)",6
"Persons, Place of Work","Alpine (S)","Frankston (C)",0
"Persons, Place of Work","Alpine (S)","Gannawarra (S)",0
"Persons, Place of Work","Alpine (S)","Glen Eira (C)",0
"Persons, Place of Work","Alpine (S)","Glenelg (S)",0
"Persons, Place of Work","Alpine (S)","Golden Plains (S)",0
"Persons, Place of Work","Alpine (S)","Greater Bendigo (C)",0
"Persons, Place of Work","Alpine (S)","Greater Dandenong (C)",3
"Persons, Place of Work","Alpine (S)","Greater Geelong (C)",0
"Persons, Place of Work","Alpine (S)","Greater Shepparton (C)",8
"Persons, Place of Work","Alpine (S)","Hepburn (S)",0
"Persons, Place of Work","Alpine (S)","Hindmarsh (S)",0
"Persons, Place of Work","Alpine (S)","Hobsons Bay (C)",0
"Persons, Place of Work","Alpine (S)","Horsham (RC)",0
"Persons, Place of Work","Alpine (S)","Hume (C)",7
"Persons, Place of Work","Alpine (S)","Indigo (S)",91
"Persons, Place of Work","Alpine (S)","Kingston (C)",0
"Persons, Place of Work","Alpine (S)","Knox (C)",0
"Persons, Place of Work","Alpine (S)","Latrobe (C)",0
"Persons, Place of Work","Alpine (S)","Loddon (S)",0
"Persons, Place of Work","Alpine (S)","Macedon Ranges (S)",0
"Persons, Place of Work","Alpine (S)","Manningham (C)",0
"Persons, Place of Work","Alpine (S)","Mansfield (S)",5
"Persons, Place of Work","Alpine (S)","Maribyrnong (C)",7
"Persons, Place of Work","Alpine (S)","Maroondah (C)",0
"Persons, Place of Work","Alpine (S)","Melbourne (C)",16
"Persons, Place of Work","Alpine (S)","Melton (S)",0
"Persons, Place of Work","Alpine (S)","Mildura (RC)",0
"Persons, Place of Work","Alpine (S)","Mitchell (S)",0
"Persons, Place of Work","Alpine (S)","Moira (S)",0
"Persons, Place of Work","Alpine (S)","Monash (C)",0
"Persons, Place of Work","Alpine (S)","Moonee Valley (C)",3
"Persons, Place of Work","Alpine (S)","Moorabool (S)",0
"Persons, Place of Work","Alpine (S)","Moreland (C)",0
"Persons, Place of Work","Alpine (S)","Mornington Peninsula (S)",0
"Persons, Place of Work","Alpine (S)","Mount Alexander (S)",0
"Persons, Place of Work","Alpine (S)","Moyne (S)",0
"Persons, Place of Work","Alpine (S)","Murrindindi (S)",4
"Persons, Place of Work","Alpine (S)","Nillumbik (S)",0
"Persons, Place of Work","Alpine (S)","Northern Grampians (S)",0
"Persons, Place of Work","Alpine (S)","Port Phillip (C)",4
"Persons, Place of Work","Alpine (S)","Pyrenees (S)",0
"Persons, Place of Work","Alpine (S)","Queenscliffe (B)",0
"Persons, Place of Work","Alpine (S)","South Gippsland (S)",0
"Persons, Place of Work","Alpine (S)","Southern Grampians (S)",0
"Persons, Place of Work","Alpine (S)","Stonnington (C)",5
"Persons, Place of Work","Alpine (S)","Strathbogie (S)",0
"Persons, Place of Work","Alpine (S)","Surf Coast (S)",0
"Persons, Place of Work","Alpine (S)","Swan Hill (RC)",0
"Persons, Place of Work","Alpine (S)","Towong (S)",6
"Persons, Place of Work","Alpine (S)","Wangaratta (RC)",215
"Persons, Place of Work","Alpine (S)","Warrnambool (C)",0
"Persons, Place of Work","Alpine (S)","Wellington (S)",0
"Persons, Place of Work","Alpine (S)","West Wimmera (S)",0
"Persons, Place of Work","Alpine (S)","Whitehorse (C)",3
"Persons, Place of Work","Alpine (S)","Whittlesea (C)",0
"Persons, Place of Work","Alpine (S)","Wodonga (RC)",129
"Persons, Place of Work","Alpine (S)","Wyndham (C)",0
"Persons, Place of Work","Alpine (S)","Yarra (C)",0
"Persons, Place of Work","Alpine (S)","Yarra Ranges (S)",3
"Persons, Place of Work","Alpine (S)","Yarriambiack (S)",0
"Persons, Place of Work","Alpine (S)","POW Capital city undefined (Greater Melbourne)",0
"Persons, Place of Work","Alpine (S)","Unincorporated Vic",170
"Persons, Place of Work","Alpine (S)","POW No Fixed Address (Vic.)",210
"Persons, Place of Work","Alpine (S)","POW State/Territory undefined (Vic.)",357
"Persons, Place of Work","Ararat (RC)","Alpine (S)",0
"Persons, Place of Work","Ararat (RC)","Ararat (RC)",3818
"Persons, Place of Work","Ararat (RC)","Ballarat (C)",57
"Persons, Place of Work","Ararat (RC)","Banyule (C)",0
"Persons, Place of Work","Ararat (RC)","Bass Coast (S)",0
"Persons, Place of Work","Ararat (RC)","Baw Baw (S)",0
"Persons, Place of Work","Ararat (RC)","Bayside (C)",0
"Persons, Place of Work","Ararat (RC)","Benalla (RC)",0
"Persons, Place of Work","Ararat (RC)","Boroondara (C)",0
"Persons, Place of Work","Ararat (RC)","Brimbank (C)",3
"Persons, Place of Work","Ararat (RC)","Buloke (S)",0
"Persons, Place of Work","Ararat (RC)","Campaspe (S)",0
"Persons, Place of Work","Ararat (RC)","Cardinia (S)",0
"Persons, Place of Work","Ararat (RC)","Casey (C)",0
"Persons, Place of Work","Ararat (RC)","Central Goldfields (S)",0
"Persons, Place of Work","Ararat (RC)","Colac-Otway (S)",3
"Persons, Place of Work","Ararat (RC)","Corangamite (S)",6
"Persons, Place of Work","Ararat (RC)","Darebin (C)",0
"Persons, Place of Work","Ararat (RC)","East Gippsland (S)",0
"Persons, Place of Work","Ararat (RC)","Frankston (C)",3
"Persons, Place of Work","Ararat (RC)","Gannawarra (S)",0
"Persons, Place of Work","Ararat (RC)","Glen Eira (C)",0
"Persons, Place of Work","Ararat (RC)","Glenelg (S)",0
"Persons, Place of Work","Ararat (RC)","Golden Plains (S)",3
"Persons, Place of Work","Ararat (RC)","Greater Bendigo (C)",6
"Persons, Place of Work","Ararat (RC)","Greater Dandenong (C)",0
"Persons, Place of Work","Ararat (RC)","Greater Geelong (C)",0
"Persons, Place of Work","Ararat (RC)","Greater Shepparton (C)",0
"Persons, Place of Work","Ararat (RC)","Hepburn (S)",0
"Persons, Place of Work","Ararat (RC)","Hindmarsh (S)",3
"Persons, Place of Work","Ararat (RC)","Hobsons Bay (C)",3
"Persons, Place of Work","Ararat (RC)","Horsham (RC)",11
"Persons, Place of Work","Ararat (RC)","Hume (C)",0
"Persons, Place of Work","Ararat (RC)","Indigo (S)",0
"Persons, Place of Work","Ararat (RC)","Kingston (C)",0
"Persons, Place of Work","Ararat (RC)","Knox (C)",0
"Persons, Place of Work","Ararat (RC)","Latrobe (C)",0
"Persons, Place of Work","Ararat (RC)","Loddon (S)",0
"Persons, Place of Work","Ararat (RC)","Macedon Ranges (S)",0
"Persons, Place of Work","Ararat (RC)","Manningham (C)",0
"Persons, Place of Work","Ararat (RC)","Mansfield (S)",0
"Persons, Place of Work","Ararat (RC)","Maribyrnong (C)",0
"Persons, Place of Work","Ararat (RC)","Maroondah (C)",0
"Persons, Place of Work","Ararat (RC)","Melbourne (C)",28
"Persons, Place of Work","Ararat (RC)","Melton (S)",0
"Persons, Place of Work","Ararat (RC)","Mildura (RC)",0
"Persons, Place of Work","Ararat (RC)","Mitchell (S)",0
"Persons, Place of Work","Ararat (RC)","Moira (S)",0
"Persons, Place of Work","Ararat (RC)","Monash (C)",0
"Persons, Place of Work","Ararat (RC)","Moonee Valley (C)",0
"Persons, Place of Work","Ararat (RC)","Moorabool (S)",7
"Persons, Place of Work","Ararat (RC)","Moreland (C)",0
"Persons, Place of Work","Ararat (RC)","Mornington Peninsula (S)",0
"Persons, Place of Work","Ararat (RC)","Mount Alexander (S)",0
"Persons, Place of Work","Ararat (RC)","Moyne (S)",5
"Persons, Place of Work","Ararat (RC)","Murrindindi (S)",0
"Persons, Place of Work","Ararat (RC)","Nillumbik (S)",0
"Persons, Place of Work","Ararat (RC)","Northern Grampians (S)",311
"Persons, Place of Work","Ararat (RC)","Port Phillip (C)",0
"Persons, Place of Work","Ararat (RC)","Pyrenees (S)",35
"Persons, Place of Work","Ararat (RC)","Queenscliffe (B)",0
"Persons, Place of Work","Ararat (RC)","South Gippsland (S)",0
"Persons, Place of Work","Ararat (RC)","Southern Grampians (S)",29
"Persons, Place of Work","Ararat (RC)","Stonnington (C)",0
"Persons, Place of Work","Ararat (RC)","Strathbogie (S)",0
"Persons, Place of Work","Ararat (RC)","Surf Coast (S)",0
"Persons, Place of Work","Ararat (RC)","Swan Hill (RC)",0
"Persons, Place of Work","Ararat (RC)","Towong (S)",0
"Persons, Place of Work","Ararat (RC)","Wangaratta (RC)",0
"Persons, Place of Work","Ararat (RC)","Warrnambool (C)",3
"Persons, Place of Work","Ararat (RC)","Wellington (S)",0
"Persons, Place of Work","Ararat (RC)","West Wimmera (S)",0
"Persons, Place of Work","Ararat (RC)","Whitehorse (C)",3
"Persons, Place of Work","Ararat (RC)","Whittlesea (C)",0
"Persons, Place of Work","Ararat (RC)","Wodonga (RC)",0
"Persons, Place of Work","Ararat (RC)","Wyndham (C)",0
"Persons, Place of Work","Ararat (RC)","Yarra (C)",0
"Persons, Place of Work","Ararat (RC)","Yarra Ranges (S)",0
"Persons, Place of Work","Ararat (RC)","Yarriambiack (S)",0
"Persons, Place of Work","Ararat (RC)","POW Capital city undefined (Greater Melbourne)",4
"Persons, Place of Work","Ararat (RC)","Unincorporated Vic",3
"Persons, Place of Work","Ararat (RC)","POW No Fixed Address (Vic.)",113
"Persons, Place of Work","Ararat (RC)","POW State/Territory undefined (Vic.)",149
"Persons, Place of Work","Ballarat (C)","Alpine (S)",0
"Persons, Place of Work","Ballarat (C)","Ararat (RC)",155
"Persons, Place of Work","Ballarat (C)","Ballarat (C)",32118
