Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"LGA (UR) by LGA (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","LGA (UR)","LGA (POW)","Count",
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Alpine (S)",4041
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Ararat (RC)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Ballarat (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Banyule (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Bass Coast (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Baw Baw (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Bayside (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Benalla (RC)",14
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Boroondara (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Brimbank (C)",5
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Buloke (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Campaspe (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Cardinia (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Casey (C)",5
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Central Goldfields (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Colac-Otway (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Corangamite (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Darebin (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","East Gippsland (S)",4
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Frankston (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Gannawarra (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Glen Eira (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Glenelg (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Golden Plains (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Greater Bendigo (C)",9
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Greater Dandenong (C)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Greater Geelong (C)",25
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Greater Shepparton (C)",6
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Hepburn (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Hindmarsh (S)",0
"Persons Aged 15 Years and Over Place of Work","Alpine (S)","Hobsons Bay (C)",0
